name,slug,description,type
Lịch sử Thể thao,lich-su-the-thao,Các sự kiện lịch sử liên quan đến thể thao,category
Cổ vật và Di tích,co-vat-va-di-tich,Thông tin về cổ vật và di tích lịch sử,category
Tác giả nổi tiếng,tac-gia-noi-tieng,Các tác giả có ảnh hưởng lớn,category
Tác giả thơ,tac-gia-tho',Các tác giả chuyên về thơ',category
Tác giả văn học,tac-gia-van-hoc,Các tác giả văn học,category
Tác giả pháp luật,tac-gia-phap-luat,Tác giả liên quan pháp luật,category
Tác giả khoa học,tac-gia-khoa-hoc,Các nhà khoa học,category
